session_id,user_id,model_id,model_name,day,cleaning_mode,cleaning_mode_encoded,cleaning_time_min,start_battery_pct,end_battery_pct,battery_drop_pct,consumption_rate,ambient_temp_c,soh,aborted,recent_avg_consumption_rate,last_session_time_min,last_battery_drop_pct,available_time_min
S00042,A-1_U1,A-1,가끔·방치형,209,표준,1,5.6,48.2,32.0,16.2,2.898,27.1,0.9858,0,2.703,5.6,15.6,14.0
S00043,A-1_U1,A-1,가끔·방치형,210,표준,1,13.0,99.8,67.3,32.5,2.498,28.9,0.9708,0,2.751,5.6,16.2,37.0
S00044,A-1_U1,A-1,가끔·방치형,220,표준,1,4.4,68.8,55.9,12.9,2.923,27.2,0.9817,0,2.691,13.0,32.5,21.5
S00045,A-1_U1,A-1,가끔·방치형,222,표준,1,5.2,56.1,41.8,14.3,2.752,26.9,0.9736,0,2.748,4.4,12.9,17.5
S00046,A-1_U1,A-1,가끔·방치형,227,표준,1,7.6,41.9,20.5,21.4,2.812,26.6,0.9802,0,2.77,5.2,14.3,11.75
S00047,A-1_U1,A-1,가끔·방치형,231,표준,1,11.5,100.0,69.7,30.3,2.636,27.2,0.974,0,2.777,7.6,21.4,35.0
S00048,A-1_U1,A-1,가끔·방치형,233,표준,1,6.1,69.6,52.6,17.0,2.792,27.1,0.9568,0,2.724,11.5,30.3,23.0
S00049,A-1_U1,A-1,가끔·방치형,243,표준,1,5.8,52.2,36.2,16.0,2.76,22.5,0.9935,0,2.783,6.1,17.0,16.75
S00050,A-1_U1,A-1,가끔·방치형,246,표준,1,3.4,37.4,27.3,10.0,2.953,26.0,0.9771,0,2.75,5.8,16.0,10.25
S00051,A-1_U1,A-1,가끔·방치형,254,표준,1,6.2,27.2,9.2,18.1,2.913,24.7,0.9506,0,2.791,3.4,10.0,6.5
S00052,A-1_U1,A-1,가끔·방치형,258,표준,1,10.5,100.0,73.0,27.0,2.574,23.7,0.9595,0,2.811,6.2,18.1,35.75
S00053,A-1_U1,A-1,가끔·방치형,264,표준,1,10.1,73.0,45.3,27.7,2.739,25.6,0.953,0,2.798,10.5,27.0,24.0
S00054,A-1_U1,A-1,가끔·방치형,265,표준,1,5.1,44.6,30.1,14.6,2.853,26.6,0.96,0,2.788,10.1,27.7,14.0
S00055,A-1_U1,A-1,가끔·방치형,268,표준,1,8.3,86.2,65.0,21.1,2.547,21.8,0.954,0,2.806,5.1,14.6,31.0
S00056,A-1_U1,A-1,가끔·방치형,277,표준,1,7.2,66.1,45.7,20.4,2.831,22.1,0.9611,0,2.725,8.3,21.1,20.75
S00057,A-1_U1,A-1,가끔·방치형,281,표준,1,6.3,46.8,28.6,18.2,2.889,24.6,0.9567,0,2.709,7.2,20.4,13.25
S00058,A-1_U1,A-1,가끔·방치형,283,표준,1,8.8,99.6,76.1,23.5,2.674,21.9,0.9732,0,2.772,6.3,18.2,35.0
S00059,A-1_U1,A-1,가끔·방치형,293,표준,1,6.2,75.3,58.1,17.2,2.771,23.6,0.9732,0,2.759,8.8,23.5,25.5
S00060,A-1_U1,A-1,가끔·방치형,294,표준,1,8.1,57.6,35.1,22.6,2.788,25.1,0.9739,0,2.742,6.2,17.2,19.0
S00061,A-1_U1,A-1,가끔·방치형,304,표준,1,7.5,100.0,79.9,20.1,2.675,20.4,0.9456,0,2.791,8.1,22.6,35.25
S00062,A-1_U1,A-1,가끔·방치형,310,표준,1,10.1,79.9,52.0,27.9,2.761,19.9,0.9603,0,2.759,7.5,20.1,26.5
S00063,A-1_U1,A-1,가끔·방치형,313,표준,1,10.1,52.7,24.8,27.9,2.76,17.3,0.929,0,2.734,10.1,27.9,16.75
S00064,A-1_U1,A-1,가끔·방치형,315,표준,1,7.7,99.7,79.3,20.4,2.652,18.5,0.9506,0,2.751,10.1,27.9,35.25
S00065,A-1_U1,A-1,가끔·방치형,323,표준,1,3.9,80.1,69.4,10.7,2.744,16.9,0.9406,0,2.727,7.7,20.4,27.0
S00066,A-1_U1,A-1,가끔·방치형,325,표준,1,4.4,68.8,56.9,11.9,2.709,19.3,0.9853,0,2.718,3.9,10.7,23.5
S00067,A-1_U1,A-1,가끔·방치형,331,표준,1,9.8,57.6,29.8,27.8,2.838,17.3,0.9692,0,2.725,4.4,11.9,17.75
S00068,A-1_U1,A-1,가끔·방치형,333,표준,1,7.5,29.8,9.1,20.7,2.759,17.8,0.95,0,2.741,9.8,27.8,8.25
S00069,A-1_U1,A-1,가끔·방치형,341,표준,1,6.3,99.8,82.7,17.0,2.705,17.1,0.9413,0,2.74,7.5,20.7,34.5
S00070,A-1_U1,A-1,가끔·방치형,346,표준,1,3.0,83.4,74.8,8.6,2.873,13.9,0.9409,0,2.751,6.3,17.0,28.0
S00071,A-1_U1,A-1,가끔·방치형,353,표준,1,5.7,75.1,59.1,16.0,2.798,16.1,0.9421,0,2.777,3.0,8.6,24.25
S00072,A-1_U1,A-1,가끔·방치형,361,표준,1,10.9,59.8,30.1,29.7,2.725,17.2,0.9708,0,2.795,5.7,16.0,18.75
S00074,A-1_U2,A-1,가끔·방치형,5,표준,1,8.8,66.9,41.8,25.1,2.848,5.5,0.9953,0,2.729,12.1,33.0,21.5
S00075,A-1_U2,A-1,가끔·방치형,12,표준,1,6.9,41.9,22.1,19.8,2.865,8.3,0.9645,0,2.788,8.8,25.1,12.75
S00076,A-1_U2,A-1,가끔·방치형,14,표준,1,5.2,21.8,5.0,16.8,3.225,6.7,0.9944,1,2.814,6.9,19.8,5.25
S00077,A-1_U2,A-1,가끔·방치형,21,표준,1,10.1,100.0,71.1,28.9,2.858,6.6,0.964,0,2.917,5.2,16.8,32.5
S00078,A-1_U2,A-1,가끔·방치형,27,표준,1,9.0,71.2,44.2,27.0,2.999,5.9,1.0,0,2.905,10.1,28.9,21.75
S00079,A-1_U2,A-1,가끔·방치형,29,표준,1,5.4,45.4,29.2,16.2,3.009,4.7,0.9738,0,2.959,9.0,27.0,13.0
S00080,A-1_U2,A-1,가끔·방치형,30,표준,1,7.2,28.4,5.8,22.6,3.143,5.0,1.0,1,2.991,5.4,16.2,7.25
S00081,A-1_U2,A-1,가끔·방치형,51,표준,1,10.1,84.4,56.8,27.7,2.741,9.1,0.9752,0,3.047,7.2,22.6,27.75
S00082,A-1_U2,A-1,가끔·방치형,56,표준,1,10.1,55.8,27.0,28.8,2.847,7.1,1.0,0,2.95,10.1,27.7,17.5
S00083,A-1_U2,A-1,가끔·방치형,63,표준,1,10.1,100.0,72.6,27.4,2.716,9.2,0.9954,0,2.948,10.1,28.8,34.25
S00084,A-1_U2,A-1,가끔·방치형,68,표준,1,4.9,72.3,57.1,15.2,3.1,8.1,0.9887,0,2.891,10.1,27.4,21.75
S00085,A-1_U2,A-1,가끔·방치형,75,표준,1,8.0,56.6,33.8,22.9,2.862,10.6,0.9701,0,2.909,4.9,15.2,18.0
S00086,A-1_U2,A-1,가끔·방치형,81,표준,1,10.1,83.8,54.9,28.9,2.862,11.1,1.0,0,2.853,8.0,22.9,27.0
S00087,A-1_U2,A-1,가끔·방치형,87,표준,1,13.5,55.7,14.2,41.5,3.074,13.1,0.9804,0,2.877,10.1,28.9,16.25
S00088,A-1_U2,A-1,가끔·방치형,93,표준,1,8.5,100.0,76.3,23.7,2.784,14.7,0.971,0,2.923,13.5,41.5,33.5
S00089,A-1_U2,A-1,가끔·방치형,97,표준,1,8.8,76.2,50.6,25.6,2.911,16.5,0.997,0,2.936,8.5,23.7,24.0
S00090,A-1_U2,A-1,가끔·방치형,104,표준,1,6.1,50.0,33.4,16.6,2.716,16.2,1.0,0,2.899,8.8,25.6,16.75
S00091,A-1_U2,A-1,가끔·방치형,105,표준,1,9.9,32.6,4.1,28.5,2.877,18.7,0.9848,1,2.869,6.1,16.6,10.0
S00092,A-1_U2,A-1,가끔·방치형,107,표준,1,5.9,79.8,64.6,15.2,2.576,20.0,0.9961,0,2.872,9.9,28.5,29.0
S00093,A-1_U2,A-1,가끔·방치형,113,표준,1,7.8,63.6,42.1,21.5,2.76,16.2,0.9847,0,2.773,5.9,15.2,21.5
S00094,A-1_U2,A-1,가끔·방치형,116,표준,1,10.1,42.4,14.9,27.6,2.729,16.9,1.0,0,2.768,7.8,21.5,13.75
S00095,A-1_U2,A-1,가끔·방치형,119,표준,1,8.8,100.0,77.3,22.7,2.578,19.5,0.9666,0,2.732,10.1,27.6,36.5
S00096,A-1_U2,A-1,가끔·방치형,126,표준,1,10.1,77.0,50.9,26.2,2.589,20.5,1.0,0,2.704,8.8,22.7,27.0
S00097,A-1_U2,A-1,가끔·방치형,132,표준,1,7.9,50.1,29.4,20.6,2.614,22.4,0.9724,0,2.646,10.1,26.2,17.0
S00098,A-1_U2,A-1,가끔·방치형,136,표준,1,8.3,30.0,6.1,23.9,2.88,21.9,0.9668,1,2.654,7.9,20.6,8.5
S00099,A-1_U2,A-1,가끔·방치형,148,표준,1,7.4,99.9,80.4,19.5,2.634,25.0,0.9772,0,2.678,8.3,23.9,35.5
S00100,A-1_U2,A-1,가끔·방치형,153,표준,1,9.0,80.0,56.2,23.8,2.642,26.3,0.9688,0,2.659,7.4,19.5,28.0
S00101,A-1_U2,A-1,가끔·방치형,156,표준,1,10.1,56.7,30.0,26.7,2.648,25.4,0.9825,0,2.672,9.0,23.8,19.0
S00102,A-1_U2,A-1,가끔·방치형,159,표준,1,8.1,30.3,7.0,23.4,2.885,28.2,0.9681,1,2.684,10.1,26.7,8.25
S00103,A-1_U2,A-1,가끔·방치형,166,표준,1,9.3,99.8,75.0,24.8,2.667,26.8,0.9845,0,2.738,8.1,23.4,34.75
S00104,A-1_U2,A-1,가끔·방치형,168,표준,1,5.7,74.4,59.3,15.1,2.647,28.2,0.9744,0,2.695,9.3,24.8,26.5
S00105,A-1_U2,A-1,가끔·방치형,174,표준,1,5.8,59.2,42.9,16.2,2.802,30.1,0.9672,0,2.698,5.7,15.1,19.0
S00106,A-1_U2,A-1,가끔·방치형,175,표준,1,7.4,41.9,20.4,21.6,2.912,29.7,0.9873,0,2.73,5.8,16.2,12.75
S00107,A-1_U2,A-1,가끔·방치형,184,표준,1,9.0,87.9,64.3,23.6,2.626,30.6,0.992,0,2.783,7.4,21.6,30.5
S00108,A-1_U2,A-1,가끔·방치형,185,표준,1,10.6,64.2,34.8,29.4,2.775,29.4,0.9756,0,2.731,9.0,23.6,20.5
S00109,A-1_U2,A-1,가끔·방치형,189,표준,1,8.1,99.8,77.4,22.4,2.77,30.0,0.9783,0,2.752,10.6,29.4,33.75
S00110,A-1_U2,A-1,가끔·방치형,190,표준,1,10.0,77.2,49.2,28.0,2.796,29.2,0.9501,0,2.777,8.1,22.4,25.5
S00111,A-1_U2,A-1,가끔·방치형,196,표준,1,10.1,49.8,21.6,28.2,2.796,30.0,0.971,0,2.776,10.0,28.0,15.5
S00112,A-1_U2,A-1,가끔·방치형,198,표준,1,8.3,100.0,79.2,20.8,2.504,28.4,0.9501,0,2.753,10.1,28.2,37.5
S00113,A-1_U2,A-1,가끔·방치형,203,표준,1,9.9,79.2,52.5,26.7,2.697,29.9,0.9664,0,2.728,8.3,20.8,26.5
S00114,A-1_U2,A-1,가끔·방치형,211,표준,1,6.2,52.2,34.6,17.6,2.84,27.7,0.9646,0,2.713,9.9,26.7,16.0
S00115,A-1_U2,A-1,가끔·방치형,219,표준,1,8.8,34.4,8.0,26.4,3.006,31.4,0.9884,1,2.727,6.2,17.6,8.75
S00116,A-1_U2,A-1,가끔·방치형,229,표준,1,10.1,100.0,73.8,26.1,2.586,27.5,0.9732,0,2.769,8.8,26.4,35.5
S00117,A-1_U2,A-1,가끔·방치형,233,표준,1,10.1,73.9,46.6,27.3,2.703,28.2,0.9367,0,2.727,10.1,26.1,24.25
S00118,A-1_U2,A-1,가끔·방치형,238,표준,1,9.1,46.7,20.5,26.2,2.88,26.4,0.9527,0,2.766,10.1,27.3,13.5
S00119,A-1_U2,A-1,가끔·방치형,250,표준,1,7.8,99.9,79.0,20.9,2.683,28.6,0.9496,0,2.803,9.1,26.2,35.0
S00120,A-1_U2,A-1,가끔·방치형,254,표준,1,7.6,78.7,60.0,18.7,2.461,26.3,0.977,0,2.772,7.8,20.9,29.5
S00121,A-1_U2,A-1,가끔·방치형,258,표준,1,4.5,60.1,47.4,12.8,2.833,28.0,0.9695,0,2.663,7.6,18.7,19.25
S00122,A-1_U2,A-1,가끔·방치형,265,표준,1,7.9,47.5,25.9,21.6,2.738,25.8,0.9675,0,2.712,4.5,12.8,15.0
S00123,A-1_U2,A-1,가끔·방치형,271,표준,1,6.3,25.7,7.3,18.4,2.922,20.0,0.9864,1,2.719,7.9,21.6,6.5
S00124,A-1_U2,A-1,가끔·방치형,272,표준,1,6.8,91.1,73.7,17.4,2.566,22.5,0.9672,0,2.727,6.3,18.4,32.0
S00125,A-1_U2,A-1,가끔·방치형,273,표준,1,7.5,73.2,52.8,20.4,2.72,22.3,0.9784,0,2.704,6.8,17.4,24.25
S00126,A-1_U2,A-1,가끔·방치형,277,표준,1,10.1,53.9,25.6,28.4,2.809,22.2,0.983,0,2.756,7.5,20.4,16.0
S00127,A-1_U2,A-1,가끔·방치형,282,표준,1,7.0,100.0,81.1,18.9,2.694,16.8,0.9692,0,2.751,10.1,28.4,35.0
S00128,A-1_U2,A-1,가끔·방치형,287,표준,1,10.1,81.5,54.4,27.1,2.681,17.7,0.9668,0,2.742,7.0,18.9,27.5
S00129,A-1_U2,A-1,가끔·방치형,291,표준,1,8.2,55.0,31.9,23.0,2.811,17.1,0.9704,0,2.694,10.1,27.1,17.0
S00130,A-1_U2,A-1,가끔·방치형,295,표준,1,8.7,77.6,53.8,23.8,2.74,17.8,0.9614,0,2.743,8.2,23.0,25.25
S00131,A-1_U2,A-1,가끔·방치형,296,표준,1,8.8,53.8,28.7,25.1,2.848,20.3,0.9755,0,2.747,8.7,23.8,16.5
S00132,A-1_U2,A-1,가끔·방치형,304,표준,1,5.7,92.4,75.4,16.9,2.97,15.7,0.9815,0,2.755,8.8,25.1,29.25
S00133,A-1_U2,A-1,가끔·방치형,307,표준,1,7.9,74.9,54.1,20.8,2.633,18.6,0.9914,0,2.81,5.7,16.9,25.75
S00134,A-1_U2,A-1,가끔·방치형,313,표준,1,5.0,54.1,40.1,14.0,2.802,15.2,0.9678,0,2.8,7.9,20.8,17.0
S00135,A-1_U2,A-1,가끔·방치형,316,표준,1,6.9,40.2,20.2,20.0,2.893,16.2,0.952,0,2.799,5.0,14.0,11.5
S00136,A-1_U2,A-1,가끔·방치형,318,표준,1,4.0,19.2,6.2,13.0,3.25,11.8,0.9668,1,2.829,6.9,20.0,4.0
S00137,A-1_U2,A-1,가끔·방치형,325,표준,1,10.1,99.9,72.9,27.0,2.675,12.6,0.9559,0,2.91,4.0,13.0,34.5
S00138,A-1_U2,A-1,가끔·방치형,327,표준,1,8.6,72.8,49.2,23.6,2.741,12.7,0.9701,0,2.851,10.1,27.0,24.25
S00139,A-1_U2,A-1,가끔·방치형,334,표준,1,7.7,49.5,25.9,23.6,3.058,11.1,0.9635,0,2.872,8.6,23.6,14.25
S00140,A-1_U2,A-1,가끔·방치형,335,표준,1,10.1,99.7,72.3,27.4,2.714,11.7,0.9398,0,2.923,7.7,23.6,34.0
S00141,A-1_U2,A-1,가끔·방치형,340,표준,1,9.3,73.4,46.4,27.0,2.899,9.1,0.9612,0,2.888,10.1,27.4,22.75
S00142,A-1_U2,A-1,가끔·방치형,345,표준,1,10.1,45.3,12.5,32.8,3.247,7.9,0.9682,0,2.817,9.3,27.0,12.5
S00143,A-1_U2,A-1,가끔·방치형,349,표준,1,10.1,100.0,70.1,29.9,2.956,10.4,0.9847,0,2.932,10.1,32.8,31.5
S00144,A-1_U2,A-1,가끔·방치형,353,표준,1,10.1,70.7,40.6,30.0,2.974,6.8,0.9405,0,2.975,10.1,29.9,21.5
S00145,A-1_U2,A-1,가끔·방치형,357,표준,1,9.7,40.2,12.3,27.9,2.88,9.4,0.9546,0,2.958,10.1,30.0,12.25
S00146,A-1_U2,A-1,가끔·방치형,358,표준,1,7.8,80.3,59.3,21.0,2.69,9.4,0.9517,0,2.991,9.7,27.9,27.25
S00148,A-1_U3,A-1,가끔·방치형,3,표준,1,3.8,74.1,63.6,10.5,2.774,13.4,1.0,0,2.542,10.1,25.7,25.5
S00149,A-1_U3,A-1,가끔·방치형,7,표준,1,5.3,62.6,48.0,14.6,2.749,13.4,1.0,0,2.658,3.8,10.5,21.25
S00150,A-1_U3,A-1,가끔·방치형,12,표준,1,8.8,48.9,26.0,22.9,2.601,14.9,0.9953,0,2.688,5.3,14.6,16.75
S00151,A-1_U3,A-1,가끔·방치형,15,표준,1,3.0,77.6,69.2,8.3,2.777,16.0,0.9988,0,2.666,8.8,22.9,27.0
S00152,A-1_U3,A-1,가끔·방치형,21,표준,1,9.0,69.1,46.3,22.9,2.54,16.1,0.9884,0,2.689,3.0,8.3,24.25
S00153,A-1_U3,A-1,가끔·방치형,39,표준,1,5.9,45.9,29.9,16.0,2.71,15.1,0.984,0,2.688,9.0,22.9,14.5
S00154,A-1_U3,A-1,가끔·방치형,41,표준,1,8.6,100.0,78.0,22.0,2.557,14.4,1.0,0,2.675,5.9,16.0,36.5
S00155,A-1_U3,A-1,가끔·방치형,44,표준,1,4.1,78.6,68.0,10.6,2.595,14.6,0.9916,0,2.637,8.6,22.0,28.0
S00156,A-1_U3,A-1,가끔·방치형,48,표준,1,6.3,68.8,52.5,16.2,2.579,17.3,1.0,0,2.636,4.1,10.6,23.75
S00157,A-1_U3,A-1,가끔·방치형,53,표준,1,7.7,53.5,32.4,21.1,2.738,17.1,0.9974,0,2.596,6.3,16.2,16.5
S00158,A-1_U3,A-1,가끔·방치형,56,표준,1,8.3,31.2,6.9,24.3,2.924,15.4,0.999,1,2.636,7.7,21.1,8.25
S00159,A-1_U3,A-1,가끔·방치형,59,표준,1,10.7,99.4,72.3,27.1,2.529,17.6,1.0,0,2.679,8.3,24.3,37.0
S00160,A-1_U3,A-1,가끔·방치형,65,표준,1,8.2,72.8,51.6,21.2,2.583,18.2,0.9931,0,2.673,10.7,27.1,26.0
S00161,A-1_U3,A-1,가끔·방치형,69,표준,1,4.7,52.3,39.2,13.0,2.777,15.6,0.9766,0,2.671,8.2,21.2,16.75
S00162,A-1_U3,A-1,가끔·방치형,72,표준,1,7.4,38.2,16.9,21.4,2.886,17.2,0.9703,0,2.71,4.7,13.0,11.5
S00163,A-1_U3,A-1,가끔·방치형,83,표준,1,6.1,100.0,84.3,15.7,2.579,20.9,0.9859,0,2.74,7.4,21.4,36.25
S00164,A-1_U3,A-1,가끔·방치형,89,표준,1,6.4,84.9,68.5,16.4,2.567,16.5,0.9989,0,2.671,6.1,15.7,30.0
S00165,A-1_U3,A-1,가끔·방치형,94,표준,1,4.4,69.4,57.8,11.6,2.632,18.7,1.0,0,2.678,6.4,16.4,23.5
S00166,A-1_U3,A-1,가끔·방치형,98,표준,1,3.9,58.2,47.3,10.9,2.79,20.2,0.9889,0,2.688,4.4,11.6,18.5
S00167,A-1_U3,A-1,가끔·방치형,99,표준,1,8.6,48.2,25.0,23.2,2.693,19.3,0.9983,0,2.691,3.9,10.9,14.5
S00168,A-1_U3,A-1,가끔·방치형,108,표준,1,9.0,100.0,77.8,22.2,2.463,21.7,0.9785,0,2.652,8.6,23.2,38.25
S00169,A-1_U3,A-1,가끔·방치형,114,표준,1,7.9,78.6,57.1,21.5,2.722,20.2,0.9773,0,2.629,9.0,22.2,26.25
S00170,A-1_U3,A-1,가끔·방치형,115,표준,1,10.1,57.6,31.7,25.9,2.565,21.2,1.0,0,2.66,7.9,21.5,19.75
S00171,A-1_U3,A-1,가끔·방치형,152,표준,1,3.0,100.0,92.2,7.8,2.59,24.7,0.9863,0,2.647,10.1,25.9,38.0
S00172,A-1_U3,A-1,가끔·방치형,155,표준,1,10.1,91.2,65.0,26.2,2.595,26.0,1.0,0,2.607,3.0,7.8,32.5
S00173,A-1_U3,A-1,가끔·방치형,161,표준,1,10.1,64.1,37.2,26.9,2.665,26.7,0.9533,0,2.587,10.1,26.2,22.25
S00174,A-1_U3,A-1,가끔·방치형,172,표준,1,6.4,36.2,17.9,18.3,2.861,27.1,1.0,0,2.627,10.1,26.9,11.0
S00175,A-1_U3,A-1,가끔·방치형,180,표준,1,5.0,100.0,86.8,13.2,2.642,26.1,1.0,0,2.655,6.4,18.3,36.0
S00176,A-1_U3,A-1,가끔·방치형,181,표준,1,9.2,86.4,62.6,23.8,2.587,28.1,0.9969,0,2.671,5.0,13.2,30.5
S00177,A-1_U3,A-1,가끔·방치형,185,표준,1,8.3,62.3,39.2,23.2,2.793,28.4,0.9827,0,2.67,9.2,23.8,20.0
S00178,A-1_U3,A-1,가끔·방치형,188,표준,1,5.6,38.2,22.7,15.6,2.779,28.4,0.9682,0,2.71,8.3,23.2,12.0
S00179,A-1_U3,A-1,가끔·방치형,189,표준,1,7.1,99.6,80.6,19.0,2.669,29.2,0.9799,0,2.732,5.6,15.6,35.0
S00180,A-1_U3,A-1,가끔·방치형,194,표준,1,7.2,80.1,61.6,18.4,2.56,28.2,0.9948,0,2.694,7.1,19.0,29.25
S00181,A-1_U3,A-1,가끔·방치형,196,표준,1,10.6,61.6,34.3,27.3,2.575,27.1,0.9788,0,2.678,7.2,18.4,21.75
