model,name,user,day,amb,idle_before,soc_disp,soh_est,soh_true,dur,p_eco,p_std,p_turbo,nsw,k_design,k_true,mu_T,r_design,ft_design,T_pred,T_act,margin_pred,margin_act,aborted,soc_used
A-1,가끔·방치형,A-1_U1,79,20.4,6,75.68,0.9881,0.9825,10.1,0.238,0.762,0.0,1,1.0,0.965,8,2.34,1.0,29.84,27.0,21.84,19.0,0,24.93
A-1,가끔·방치형,A-1_U1,89,20.6,9,49.95,0.9827,0.982,10.1,0.189,0.811,0.0,1,1.0,1.025,8,2.34,1.0,18.88,15.0,10.88,7.0,0,28.35
A-1,가끔·방치형,A-1_U1,90,20.3,0,100.0,0.9962,0.9819,5.6,0.111,0.889,0.0,2,1.0,0.959,8,2.34,1.0,40.44,36.75,32.44,28.75,0,14.51
A-1,가끔·방치형,A-1_U1,94,19.9,3,85.64,0.993,0.9816,3.0,0.235,0.765,0.0,0,1.0,0.992,8,2.34,1.0,34.22,31.25,26.22,23.25,0,7.82
A-1,가끔·방치형,A-1_U1,96,20.2,1,76.85,1.0,0.9814,7.0,0.264,0.736,0.0,2,1.0,1.052,8,2.34,1.0,30.71,26.5,22.71,18.5,0,18.8
A-1,가끔·방치형,A-1_U1,101,20.7,4,58.48,1.0,0.9812,4.4,0.189,0.811,0.0,1,1.0,1.011,8,2.34,1.0,22.85,19.25,14.85,11.25,0,12.14
A-1,가끔·방치형,A-1_U1,108,22.5,6,45.41,0.9855,0.9808,6.2,0.242,0.758,0.0,0,1.0,0.997,8,2.34,1.0,17.02,15.0,9.02,7.0,0,16.6
A-1,가끔·방치형,A-1_U1,116,23.2,7,100.0,1.0,0.9804,6.2,0.3,0.7,0.0,0,1.0,1.005,8,2.34,1.0,40.6,38.0,32.6,30.0,0,15.3
A-1,가끔·방치형,A-1_U1,117,22.0,0,85.13,0.9777,0.9803,3.7,0.307,0.693,0.0,1,1.0,1.021,8,2.34,1.0,33.48,31.0,25.48,23.0,0,9.65
A-1,가끔·방치형,A-1_U1,124,22.7,6,74.43,0.9726,0.9797,5.9,0.24,0.76,0.0,2,1.0,1.026,8,2.34,1.0,28.86,25.75,20.86,17.75,0,15.78
A-1,가끔·방치형,A-1_U1,125,21.2,0,58.64,0.9806,0.9796,6.7,0.132,0.868,0.0,1,1.0,1.005,8,2.34,1.0,22.48,19.25,14.48,11.25,0,18.55
A-1,가끔·방치형,A-1_U1,130,21.2,4,39.15,0.9632,0.9793,7.3,0.237,0.763,0.0,0,1.0,1.018,8,2.34,1.0,14.06,12.5,6.06,4.5,0,20.24
A-1,가끔·방치형,A-1_U1,131,22.5,0,19.25,0.9699,0.9792,4.6,0.187,0.813,0.0,3,1.0,1.011,8,2.34,1.0,5.91,4.75,-2.09,-3.25,1,14.08
A-1,가끔·방치형,A-1_U1,134,26.0,2,100.0,0.9835,0.9784,10.1,0.192,0.808,0.0,2,1.0,1.022,8,2.34,1.0,39.93,35.5,31.93,27.5,0,26.46
A-1,가끔·방치형,A-1_U1,164,26.7,29,73.52,0.9566,0.9759,3.0,0.207,0.793,0.0,1,1.0,1.008,8,2.34,1.0,28.01,24.0,20.01,16.0,0,8.31
A-1,가끔·방치형,A-1_U1,166,28.3,1,65.12,0.9923,0.9757,8.2,0.177,0.823,0.0,1,1.0,0.977,8,2.34,1.0,25.49,21.0,17.49,13.0,0,21.61
A-1,가끔·방치형,A-1_U1,171,26.0,4,42.9,0.9541,0.9753,4.7,0.326,0.674,0.0,0,1.0,1.001,8,2.34,1.0,15.45,12.75,7.45,4.75,0,12.53
A-1,가끔·방치형,A-1_U1,172,26.8,0,30.78,0.9918,0.9752,6.8,0.161,0.839,0.0,1,1.0,0.985,8,2.34,1.0,10.93,7.25,2.93,-0.75,0,19.67
A-1,가끔·방치형,A-1_U1,177,29.9,4,99.67,0.9737,0.9731,5.7,0.131,0.869,0.0,4,1.0,1.006,8,2.34,1.0,39.39,35.0,31.39,27.0,0,15.7
A-1,가끔·방치형,A-1_U1,180,26.9,2,83.47,0.996,0.9728,3.0,0.177,0.823,0.0,2,1.0,1.031,8,2.34,1.0,33.4,28.5,25.4,20.5,0,8.62
A-1,가끔·방치형,A-1_U1,184,28.4,3,74.53,0.9911,0.9724,5.4,0.178,0.822,0.0,2,1.0,0.987,8,2.34,1.0,29.45,26.25,21.45,18.25,0,14.43
A-1,가끔·방치형,A-1_U1,192,30.7,7,59.7,0.9708,0.9717,8.7,0.158,0.842,0.0,0,1.0,0.973,8,2.34,1.0,22.69,20.0,14.69,12.0,0,23.1
A-1,가끔·방치형,A-1_U1,194,31.3,1,36.99,0.9745,0.9715,6.5,0.168,0.832,0.0,0,1.0,0.977,8,2.34,1.0,13.32,11.0,5.32,3.0,0,18.21
A-1,가끔·방치형,A-1_U1,197,26.0,2,99.88,0.9839,0.9713,5.5,0.157,0.843,0.0,1,1.0,0.991,8,2.34,1.0,39.9,36.0,31.9,28.0,0,14.49
A-1,가끔·방치형,A-1_U1,198,28.4,0,85.4,0.9563,0.9711,8.6,0.241,0.759,0.0,0,1.0,1.04,8,2.34,1.0,32.86,29.75,24.86,21.75,0,22.72
A-1,가끔·방치형,A-1_U1,206,29.7,7,63.29,0.9723,0.9703,5.6,0.138,0.862,0.0,0,1.0,1.011,8,2.34,1.0,24.22,20.0,16.22,12.0,0,15.57
A-1,가끔·방치형,A-1_U1,209,27.1,2,48.18,0.9858,0.97,5.6,0.177,0.823,0.0,1,1.0,1.03,8,2.34,1.0,18.19,14.0,10.19,6.0,0,16.23
A-1,가끔·방치형,A-1_U1,210,28.9,0,99.82,0.9708,0.9699,13.0,0.268,0.732,0.0,2,1.0,1.0,8,2.34,1.0,39.34,37.0,31.34,29.0,0,32.48
A-1,가끔·방치형,A-1_U1,220,27.2,9,68.75,0.9817,0.969,4.4,0.207,0.793,0.0,4,1.0,1.048,8,2.34,1.0,26.75,21.5,18.75,13.5,0,12.86
A-1,가끔·방치형,A-1_U1,222,26.9,1,56.06,0.9736,0.9688,5.2,0.257,0.743,0.0,2,1.0,1.012,8,2.34,1.0,21.24,17.5,13.24,9.5,0,14.31
A-1,가끔·방치형,A-1_U1,227,26.6,4,41.87,0.9802,0.9684,7.6,0.205,0.795,0.0,2,1.0,0.991,8,2.34,1.0,15.44,11.75,7.44,3.75,0,21.37
A-1,가끔·방치형,A-1_U1,231,27.2,3,100.0,0.974,0.9681,11.5,0.14,0.86,0.0,0,1.0,1.007,8,2.34,1.0,39.54,35.0,31.54,27.0,0,30.31
A-1,가끔·방치형,A-1_U1,233,27.1,1,69.59,0.9568,0.9678,6.1,0.223,0.777,0.0,3,1.0,1.038,8,2.34,1.0,26.41,23.0,18.41,15.0,0,17.03
A-1,가끔·방치형,A-1_U1,243,22.5,9,52.21,0.9935,0.9671,5.8,0.234,0.766,0.0,1,1.0,1.012,8,2.34,1.0,20.04,16.75,12.04,8.75,0,16.01
A-1,가끔·방치형,A-1_U1,246,26.0,2,37.37,0.9771,0.9669,3.4,0.126,0.874,0.0,0,1.0,0.994,8,2.34,1.0,13.52,10.25,5.52,2.25,0,10.04
A-1,가끔·방치형,A-1_U1,254,24.7,7,27.23,0.9506,0.9664,6.2,0.3,0.7,0.0,4,1.0,1.009,8,2.34,1.0,9.03,6.5,1.03,-1.5,0,18.06
A-1,가끔·방치형,A-1_U1,258,23.7,3,100.0,0.9595,0.9656,10.5,0.265,0.735,0.0,0,1.0,1.031,8,2.34,1.0,38.95,35.75,30.95,27.75,0,27.03
A-1,가끔·방치형,A-1_U1,264,25.6,5,73.0,0.953,0.9651,10.1,0.213,0.787,0.0,1,1.0,1.039,8,2.34,1.0,27.69,24.0,19.69,16.0,0,27.66
A-1,가끔·방치형,A-1_U1,265,26.6,0,44.61,0.96,0.965,5.1,0.299,0.701,0.0,2,1.0,1.045,8,2.34,1.0,16.25,14.0,8.25,6.0,0,14.55
A-1,가끔·방치형,A-1_U1,268,21.8,2,86.17,0.954,0.9648,8.3,0.301,0.699,0.0,0,1.0,1.021,8,2.34,1.0,33.09,31.0,25.09,23.0,0,21.14
A-1,가끔·방치형,A-1_U1,277,22.1,8,66.12,0.9611,0.9641,7.2,0.179,0.821,0.0,3,1.0,1.029,8,2.34,1.0,25.1,20.75,17.1,12.75,0,20.38
A-1,가끔·방치형,A-1_U1,281,24.6,3,46.76,0.9567,0.9638,6.3,0.211,0.789,0.0,0,1.0,1.04,8,2.34,1.0,17.08,13.25,9.08,5.25,0,18.2
A-1,가끔·방치형,A-1_U1,283,21.9,1,99.6,0.9732,0.9637,8.8,0.232,0.768,0.0,2,1.0,1.04,8,2.34,1.0,39.34,35.0,31.34,27.0,0,23.53
A-1,가끔·방치형,A-1_U1,293,23.6,9,75.27,0.9732,0.963,6.2,0.231,0.769,0.0,4,1.0,1.028,8,2.34,1.0,29.22,25.5,21.22,17.5,0,17.18
A-1,가끔·방치형,A-1_U1,294,25.1,0,57.64,0.9739,0.9629,8.1,0.144,0.856,0.0,1,1.0,1.002,8,2.34,1.0,21.91,19.0,13.91,11.0,0,22.58
A-1,가끔·방치형,A-1_U1,304,20.4,9,100.0,0.9456,0.9624,7.5,0.221,0.779,0.0,3,1.0,1.022,8,2.34,1.0,38.39,35.25,30.39,27.25,0,20.06
A-1,가끔·방치형,A-1_U1,310,19.9,5,79.93,0.9603,0.9619,10.1,0.23,0.77,0.0,1,1.0,1.062,8,2.34,1.0,30.75,26.5,22.75,18.5,0,27.89
A-1,가끔·방치형,A-1_U1,313,17.3,2,52.68,0.929,0.9617,10.1,0.244,0.756,0.0,1,1.0,1.013,8,2.34,1.0,18.93,16.75,10.93,8.75,0,27.88
A-1,가끔·방치형,A-1_U1,315,18.5,1,99.69,0.9506,0.9616,7.7,0.212,0.788,0.0,1,1.0,1.023,8,2.34,1.0,38.47,35.25,30.47,27.25,0,20.42
A-1,가끔·방치형,A-1_U1,323,16.9,7,80.1,0.9406,0.9611,3.9,0.282,0.718,0.0,0,1.0,1.047,8,2.34,1.0,30.19,27.0,22.19,19.0,0,10.7
A-1,가끔·방치형,A-1_U1,325,19.3,1,68.81,0.9853,0.961,4.4,0.221,0.779,0.0,1,1.0,0.998,8,2.34,1.0,26.87,23.5,18.87,15.5,0,11.92
A-1,가끔·방치형,A-1_U1,331,17.3,5,57.61,0.9692,0.9607,9.8,0.16,0.84,0.0,2,1.0,1.011,8,2.34,1.0,21.79,17.75,13.79,9.75,0,27.81
A-1,가끔·방치형,A-1_U1,333,17.8,1,29.79,0.95,0.9606,7.5,0.306,0.694,0.0,1,1.0,0.985,8,2.34,1.0,10.07,8.25,2.07,0.25,0,20.69
A-1,가끔·방치형,A-1_U1,341,17.1,7,99.76,0.9413,0.9599,6.3,0.155,0.845,0.0,1,1.0,1.005,8,2.34,1.0,38.12,34.5,30.12,26.5,0,17.04
A-1,가끔·방치형,A-1_U1,346,13.9,4,83.39,0.9409,0.9597,3.0,0.226,0.774,0.0,2,1.0,1.006,8,2.34,1.0,31.52,28.0,23.52,20.0,0,8.62
A-1,가끔·방치형,A-1_U1,353,16.1,6,75.06,0.9421,0.9593,5.7,0.208,0.792,0.0,2,1.0,1.021,8,2.34,1.0,28.21,24.25,20.21,16.25,0,15.95
A-1,가끔·방치형,A-1_U1,361,17.2,7,59.81,0.9708,0.9589,10.9,0.255,0.745,0.0,1,1.0,1.012,8,2.34,1.0,22.74,18.75,14.74,10.75,0,29.7
A-1,가끔·방치형,A-1_U2,2,6.6,2,99.96,1.0,0.9911,12.1,0.188,0.812,0.0,3,1.0,0.997,8,2.34,0.85,34.49,34.0,26.49,26.0,0,33.02
A-1,가끔·방치형,A-1_U2,5,5.5,2,66.88,0.9953,0.9909,8.8,0.166,0.834,0.0,2,1.0,0.988,8,2.34,0.85,22.37,21.5,14.37,13.5,0,25.06
A-1,가끔·방치형,A-1_U2,12,8.3,6,41.86,0.9645,0.9908,6.9,0.257,0.743,0.0,1,1.0,1.004,8,2.34,0.85,12.91,12.75,4.91,4.75,0,19.77
A-1,가끔·방치형,A-1_U2,14,6.7,1,21.79,0.9944,0.9907,5.2,0.232,0.768,0.0,3,1.0,1.034,8,2.34,0.85,6.06,5.25,-1.94,-2.75,1,16.77
A-1,가끔·방치형,A-1_U2,21,6.6,6,100.0,0.964,0.9902,10.1,0.106,0.894,0.0,2,1.0,1.012,8,2.34,0.85,33.27,32.5,25.27,24.5,0,28.87
A-1,가끔·방치형,A-1_U2,27,5.9,5,71.17,1.0,0.99,9.0,0.167,0.833,0.0,3,1.0,1.045,8,2.34,0.85,24.04,21.75,16.04,13.75,0,26.99
A-1,가끔·방치형,A-1_U2,29,4.7,1,45.44,0.9738,0.9899,5.4,0.269,0.731,0.0,1,1.0,1.035,8,2.34,0.85,14.3,13.0,6.3,5.0,0,16.25
A-1,가끔·방치형,A-1_U2,30,5.0,0,28.43,1.0,0.9899,7.2,0.194,0.806,0.0,3,1.0,1.002,8,2.34,0.85,8.51,7.25,0.51,-0.75,1,22.63
A-1,가끔·방치형,A-1_U2,50,10.2,19,5.67,0.9859,0.9876,0.0,0.284,0.716,0.0,0,1.0,1.068,8,2.34,1.0,0.28,0.0,-7.72,-8.0,1,0.56
A-1,가끔·방치형,A-1_U2,51,9.1,0,84.43,0.9752,0.9874,10.1,0.225,0.775,0.0,0,1.0,1.026,8,2.34,0.85,28.14,27.75,20.14,19.75,0,27.68
A-1,가끔·방치형,A-1_U2,56,7.1,4,55.78,1.0,0.9872,10.1,0.268,0.732,0.0,0,1.0,1.025,8,2.34,0.85,18.45,17.5,10.45,9.5,0,28.75
A-1,가끔·방치형,A-1_U2,63,9.2,6,100.0,0.9954,0.987,10.1,0.285,0.715,0.0,3,1.0,1.043,8,2.34,0.85,34.35,34.25,26.35,26.25,0,27.43
A-1,가끔·방치형,A-1_U2,68,8.1,4,72.33,0.9887,0.9868,4.9,0.13,0.87,0.0,3,1.0,1.059,8,2.34,0.85,24.18,21.75,16.18,13.75,0,15.19
A-1,가끔·방치형,A-1_U2,75,10.6,6,56.65,0.9701,0.9866,8.0,0.31,0.69,0.0,2,1.0,1.066,8,2.34,1.0,21.41,18.0,13.41,10.0,0,22.9
A-1,가끔·방치형,A-1_U2,81,11.1,5,83.79,1.0,0.9864,10.1,0.148,0.852,0.0,1,1.0,1.048,8,2.34,1.0,33.67,27.0,25.67,19.0,0,28.91
A-1,가끔·방치형,A-1_U2,87,13.1,5,55.73,0.9804,0.9861,13.5,0.203,0.797,0.0,2,1.0,1.103,8,2.34,1.0,21.26,16.25,13.26,8.25,0,41.5
A-1,가끔·방치형,A-1_U2,93,14.7,5,100.0,0.971,0.9859,8.5,0.134,0.866,0.0,1,1.0,1.047,8,2.34,1.0,39.42,33.5,31.42,25.5,0,23.66
A-1,가끔·방치형,A-1_U2,97,16.5,3,76.22,0.997,0.9857,8.8,0.116,0.884,0.0,2,1.0,1.075,8,2.34,1.0,30.35,24.0,22.35,16.0,0,25.62
A-1,가끔·방치형,A-1_U2,104,16.2,6,49.97,1.0,0.9854,6.1,0.205,0.795,0.0,2,1.0,0.983,8,2.34,1.0,19.22,16.75,11.22,8.75,0,16.57
A-1,가끔·방치형,A-1_U2,105,18.7,0,32.56,0.9848,0.9853,9.9,0.194,0.806,0.0,5,1.0,1.003,8,2.34,1.0,11.6,10.0,3.6,2.0,1,28.48
A-1,가끔·방치형,A-1_U2,107,20.0,1,79.77,0.9961,0.9848,5.9,0.144,0.856,0.0,1,1.0,0.968,8,2.34,1.0,31.83,29.0,23.83,21.0,0,15.2
A-1,가끔·방치형,A-1_U2,113,16.2,5,63.61,0.9847,0.9845,7.8,0.196,0.804,0.0,3,1.0,1.022,8,2.34,1.0,24.66,21.5,16.66,13.5,0,21.53
A-1,가끔·방치형,A-1_U2,116,16.9,2,42.44,1.0,0.9843,10.1,0.229,0.771,0.0,0,1.0,1.003,8,2.34,1.0,16.0,13.75,8.0,5.75,0,27.56
A-1,가끔·방치형,A-1_U2,119,19.5,2,100.0,0.9666,0.9842,8.8,0.189,0.811,0.0,3,1.0,1.001,8,2.34,1.0,39.24,36.5,31.24,28.5,0,22.69
A-1,가끔·방치형,A-1_U2,126,20.5,6,77.03,1.0,0.9837,10.1,0.272,0.728,0.0,1,1.0,1.033,8,2.34,1.0,30.78,27.0,22.78,19.0,0,26.15
A-1,가끔·방치형,A-1_U2,132,22.4,5,50.08,0.9724,0.9833,7.9,0.299,0.701,0.0,0,1.0,1.012,8,2.34,1.0,18.73,17.0,10.73,9.0,0,20.65
A-1,가끔·방치형,A-1_U2,136,21.9,3,29.96,0.9668,0.9831,8.3,0.172,0.828,0.0,1,1.0,1.001,8,2.34,1.0,10.31,8.5,2.31,0.5,1,23.9
A-1,가끔·방치형,A-1_U2,141,23.7,4,6.0,0.9979,0.9814,0.0,0.197,0.803,0.0,2,1.0,1.026,8,2.34,1.0,0.42,0.0,-7.58,-8.0,1,0.81
A-1,가끔·방치형,A-1_U2,148,25.0,6,99.87,0.9772,0.9792,7.4,0.21,0.79,0.0,2,1.0,1.026,8,2.34,1.0,39.62,35.5,31.62,27.5,0,19.49
A-1,가끔·방치형,A-1_U2,153,26.3,4,80.0,0.9688,0.9787,9.0,0.2,0.8,0.0,5,1.0,0.998,8,2.34,1.0,31.05,28.0,23.05,20.0,0,23.78
A-1,가끔·방치형,A-1_U2,156,25.4,2,56.71,0.9825,0.9784,10.1,0.292,0.708,0.0,3,1.0,1.013,8,2.34,1.0,21.71,19.0,13.71,11.0,0,26.74
A-1,가끔·방치형,A-1_U2,159,28.2,2,30.32,0.9681,0.9781,8.1,0.225,0.775,0.0,1,1.0,1.017,8,2.34,1.0,10.47,8.25,2.47,0.25,1,23.37
A-1,가끔·방치형,A-1_U2,166,26.8,6,99.79,0.9845,0.9756,9.3,0.187,0.813,0.0,1,1.0,1.038,8,2.34,1.0,39.88,34.75,31.88,26.75,0,24.8
A-1,가끔·방치형,A-1_U2,168,28.2,1,74.42,0.9744,0.9754,5.7,0.239,0.761,0.0,3,1.0,1.0,8,2.34,1.0,28.91,26.5,20.91,18.5,0,15.09
A-1,가끔·방치형,A-1_U2,174,30.1,5,59.19,0.9672,0.9748,5.8,0.217,0.783,0.0,1,1.0,1.044,8,2.34,1.0,22.4,19.0,14.4,11.0,0,16.25
A-1,가끔·방치형,A-1_U2,175,29.7,0,41.94,0.9873,0.9747,7.4,0.166,0.834,0.0,1,1.0,1.034,8,2.34,1.0,15.58,12.75,7.58,4.75,0,21.55
A-1,가끔·방치형,A-1_U2,184,30.6,8,87.94,0.992,0.974,9.0,0.2,0.8,0.0,2,1.0,1.008,8,2.34,1.0,35.16,30.5,27.16,22.5,0,23.63
A-1,가끔·방치형,A-1_U2,185,29.4,0,64.23,0.9756,0.9738,10.6,0.206,0.794,0.0,2,1.0,1.039,8,2.34,1.0,24.7,20.5,16.7,12.5,0,29.42
A-1,가끔·방치형,A-1_U2,189,30.0,3,99.85,0.9783,0.9735,8.1,0.178,0.822,0.0,2,1.0,1.064,8,2.34,1.0,39.65,33.75,31.65,25.75,0,22.44
A-1,가끔·방치형,A-1_U2,190,29.2,0,77.18,0.9501,0.9733,10.0,0.17,0.83,0.0,4,1.0,1.045,8,2.34,1.0,29.31,25.5,21.31,17.5,0,27.96
A-1,가끔·방치형,A-1_U2,196,30.0,5,49.82,0.971,0.9727,10.1,0.243,0.757,0.0,2,1.0,1.032,8,2.34,1.0,18.6,15.5,10.6,7.5,0,28.24
A-1,가끔·방치형,A-1_U2,198,28.4,1,100.0,0.9501,0.9725,8.3,0.286,0.714,0.0,2,1.0,1.002,8,2.34,1.0,38.57,37.5,30.57,29.5,0,20.78
A-1,가끔·방치형,A-1_U2,203,29.9,4,79.23,0.9664,0.9718,9.9,0.115,0.885,0.0,1,1.0,0.999,8,2.34,1.0,30.66,26.5,22.66,18.5,0,26.7
A-1,가끔·방치형,A-1_U2,211,27.7,7,52.16,0.9646,0.971,6.2,0.154,0.846,0.0,1,1.0,1.014,8,2.34,1.0,19.44,16.0,11.44,8.0,0,17.61
A-1,가끔·방치형,A-1_U2,219,31.4,7,34.45,0.9884,0.9704,8.8,0.208,0.792,0.0,1,1.0,1.046,8,2.34,1.0,12.44,8.75,4.44,0.75,1,26.45
A-1,가끔·방치형,A-1_U2,229,27.5,9,99.97,0.9732,0.9684,10.1,0.265,0.735,0.0,2,1.0,1.027,8,2.34,1.0,39.5,35.5,31.5,27.5,0,26.12
A-1,가끔·방치형,A-1_U2,233,28.2,3,73.91,0.9367,0.9679,10.1,0.283,0.717,0.0,3,1.0,1.048,8,2.34,1.0,27.58,24.25,19.58,16.25,0,27.3
A-1,가끔·방치형,A-1_U2,238,26.4,4,46.68,0.9527,0.9675,9.1,0.193,0.807,0.0,0,1.0,1.035,8,2.34,1.0,16.97,13.5,8.97,5.5,0,26.21
A-1,가끔·방치형,A-1_U2,250,28.6,11,99.93,0.9496,0.9667,7.8,0.176,0.824,0.0,2,1.0,1.02,8,2.34,1.0,38.52,35.0,30.52,27.0,0,20.93
A-1,가끔·방치형,A-1_U2,254,26.3,3,78.74,0.977,0.9663,7.6,0.282,0.718,0.0,1,1.0,0.964,8,2.34,1.0,30.79,29.5,22.79,21.5,0,18.7
A-1,가끔·방치형,A-1_U2,258,28.0,3,60.14,0.9695,0.966,4.5,0.179,0.821,0.0,1,1.0,1.022,8,2.34,1.0,22.85,19.25,14.85,11.25,0,12.75
A-1,가끔·방치형,A-1_U2,265,25.8,6,47.49,0.9675,0.9655,7.9,0.253,0.747,0.0,3,1.0,0.993,8,2.34,1.0,17.57,15.0,9.57,7.0,0,21.63
A-1,가끔·방치형,A-1_U2,271,20.0,5,25.68,0.9864,0.9651,6.3,0.254,0.746,0.0,2,1.0,1.007,8,2.34,1.0,8.72,6.5,0.72,-1.5,1,18.41
A-1,가끔·방치형,A-1_U2,272,22.5,0,91.12,0.9672,0.9648,6.8,0.228,0.772,0.0,2,1.0,0.981,8,2.34,1.0,35.59,32.0,27.59,24.0,0,17.45
A-1,가끔·방치형,A-1_U2,273,22.3,0,73.17,0.9784,0.9647,7.5,0.167,0.833,0.0,5,1.0,0.981,8,2.34,1.0,28.5,24.25,20.5,16.25,0,20.4
A-1,가끔·방치형,A-1_U2,277,22.2,3,53.94,0.983,0.9645,10.1,0.16,0.84,0.0,2,1.0,0.996,8,2.34,1.0,20.56,16.0,12.56,8.0,0,28.37
A-1,가끔·방치형,A-1_U2,282,16.8,4,100.0,0.9692,0.9642,7.0,0.188,0.812,0.0,2,1.0,1.013,8,2.34,1.0,39.35,35.0,31.35,27.0,0,18.86
A-1,가끔·방치형,A-1_U2,287,17.7,4,81.47,0.9668,0.9638,10.1,0.161,0.839,0.0,0,1.0,1.009,8,2.34,1.0,31.6,27.5,23.6,19.5,0,27.08
A-1,가끔·방치형,A-1_U2,291,17.1,3,54.99,0.9704,0.9636,8.2,0.23,0.77,0.0,1,1.0,1.031,8,2.34,1.0,20.73,17.0,12.73,9.0,0,23.05
A-1,가끔·방치형,A-1_U2,295,17.8,3,77.62,0.9614,0.9634,8.7,0.115,0.885,0.0,0,1.0,1.006,8,2.34,1.0,29.84,25.25,21.84,17.25,0,23.84
A-1,가끔·방치형,A-1_U2,296,20.3,0,53.78,0.9755,0.9633,8.8,0.271,0.729,0.0,4,1.0,1.049,8,2.34,1.0,20.33,16.5,12.33,8.5,0,25.06
A-1,가끔·방치형,A-1_U2,304,15.7,7,92.37,0.9815,0.963,5.7,0.142,0.858,0.0,6,1.0,1.043,8,2.34,1.0,36.64,29.25,28.64,21.25,0,16.93
A-1,가끔·방치형,A-1_U2,307,18.6,2,74.91,0.9914,0.9629,7.9,0.21,0.79,0.0,2,1.0,0.988,8,2.34,1.0,29.62,25.75,21.62,17.75,0,20.8
A-1,가끔·방치형,A-1_U2,313,15.2,5,54.14,0.9678,0.9626,5.0,0.204,0.796,0.0,1,1.0,0.989,8,2.34,1.0,20.32,17.0,12.32,9.0,0,14.01
A-1,가끔·방치형,A-1_U2,316,16.2,2,40.15,0.952,0.9625,6.9,0.303,0.697,0.0,2,1.0,1.041,8,2.34,1.0,14.3,11.5,6.3,3.5,0,19.96
A-1,가끔·방치형,A-1_U2,318,11.8,1,19.16,0.9668,0.9624,4.0,0.239,0.761,0.0,1,1.0,1.045,8,2.34,1.0,5.85,4.0,-2.15,-4.0,1,13.0
A-1,가끔·방치형,A-1_U2,325,12.6,6,99.94,0.9559,0.9618,10.1,0.221,0.779,0.0,1,1.0,1.005,8,2.34,1.0,38.78,34.5,30.78,26.5,0,27.02
